#node1	node2
FUCA2	CST3
FABP5	CPPED1
CLTC	EFNB1
CLTC	HIP1R
CLTC	EGF
CLTC	FNBP1L
CLTC	DAB2
CLTC	EPHB3
CLTC	SYNJ2
CLTC	AMPH
CLTC	FZD5
CLTC	DNM3
CLTC	ROR2
CLTC	ITSN1
CLTC	RDX
CLTC	AGTR1
OTUB1	ESR1
PRSS1	MMP7
SET	ESR1
CTTN	HIP1R
CTTN	CDH1
CTTN	EGF
CTTN	FNBP1L
CTTN	TJP1
CTTN	DAB2
CTTN	SYNJ2
CTTN	AMPH
CTTN	MYLK
CTTN	DMD
CTTN	DNM3
CTTN	ITSN1
CTTN	AGTR1
CTSL	CST3
RPL5	DOCK4
COPS8	DCUN1D3
COPS8	ZBTB16
COPS8	CISH
COPS8	LMO7
LFNG	NOTCH2
LFNG	NOTCH1
FSTL3	CST3
PYGM	PHKA1
ACTR3	HIP1R
ACTR3	EGF
ACTR3	FNBP1L
ACTR3	FCGR2A
ACTR3	DAB2
ACTR3	BAIAP2
ACTR3	SYNJ2
ACTR3	AMPH
ACTR3	DNM3
ACTR3	ITSN1
ACTR3	AGTR1
DCTN2	AJUBA
DCTN2	ANK3
DCTN2	ANK2
DCTN2	AR
DCTD	NT5E
RPLP1	DOCK4
RPS21	DOCK4
ARPC5	HIP1R
ARPC5	EGF
ARPC5	FNBP1L
ARPC5	FCGR2A
ARPC5	DAB2
ARPC5	BAIAP2
ARPC5	SYNJ2
ARPC5	AMPH
ARPC5	DNM3
ARPC5	ITSN1
ARPC5	AGTR1
PDGFD	EGF
PDGFD	PDGFA
PDGFD	PLAU
PDGFD	PDGFC
GRN	SORT1
GRN	CPPED1
TOM1	SLC2A3
TOM1	STOM
TOM1	RAP2B
TOM1	PLAU
TOM1	PTPRJ
TOM1	ITGAM
TOM1	FPR1
ADAM10	SLC2A3
ADAM10	HBEGF
ADAM10	JAG1
ADAM10	NOTCH2
ADAM10	CDH1
ADAM10	EGF
ADAM10	NOTCH1
ADAM10	STOM
ADAM10	RAP2B
ADAM10	EPHA2
ADAM10	DLL1
ADAM10	PLAU
ADAM10	CST3
ADAM10	PTPRJ
ADAM10	ITGAM
PLXNB2	SEMA7A
PLXNB2	SEMA4F
PLXNB2	PLXNB1
CAPZA2	ANK3
CAPZA2	ANK2
CAPZA2	AR
COPS7A	DCUN1D3
COPS7A	ZBTB16
COPS7A	CISH
COPS7A	LMO7
PFDN2	SLMAP
KRT78	KRT19
B4GALT4	FUT4
SNAPIN	HIP1R
SNAPIN	SORT1
AP1S1	HIP1R
AP1S1	SORT1
AP1S1	DNM3
NRP2	SEMA7A
NRP2	NRP1
NRP2	SEMA4F
NRP2	PLXNB1
NRP2	PLXNA2
NRP2	NRCAM
NRP2	PLXNA1
NRP2	VEGFA
PRCP	STOM
PRCP	FPR1
PCNA	ESR1
CRKL	TNS1
CRKL	IGF1R
CRKL	PIK3CD
CRKL	JAK2
CRKL	DBNL
CRKL	PIK3R1
CARS1	ABTB1
CARS1	WARS2
VAPA	STOM
VAPA	FPR1
RPS12	DOCK4
RAB1A	ANK3
RAB1A	ANK2
RAB1A	AREG
RAB1A	RAB31
RPS4X	DOCK4
CALM3	KCNN4
CALM3	SLC9A1
CALM3	MYLK
CALM3	ATP2B1
CALM3	MARCKS
RPL24	DOCK4
LPL	SORT1
LPL	ACSL1
TFPI	F3
PPP1R12A	MYLK
PPP1R12A	PPP1CB
