#node1	node2
RGS3	GORASP2
RGS3	RIMBP2
RGS3	GNAI2
RGS3	CYBRD1
RGS3	YWHAZ
RGS3	PTPN13
ARVCF	VCL
ARVCF	ATP6V1E1
ARVCF	DSG1
ARVCF	DSC1
ARVCF	CDH2
ARVCF	CTNNA1
ARVCF	U2AF2
ARVCF	LASP1
ARVCF	CTNNB1
ARVCF	DSP
ARVCF	RHOA
ARVCF	RANBP1
ARVCF	CLTCL1
KRT19	KRT14
KRT19	CA12
KRT19	MMP2
KRT19	COL1A1
KRT19	GAPDH
KRT19	MAPK14
KRT19	TTR
KRT19	KRT13
KRT19	KRT9
KRT19	KRT31
KRT19	KRT33B
KRT19	KRT5
KRT19	KRT1
KRT19	KRT6C
KRT19	KRT6B
KRT19	LGALS3
KRT19	KRT85
KRT19	KRT84
KRT19	KRT82
KRT19	CDH2
KRT19	KRT10
KRT19	MYL9
KRT19	THY1
KRT19	PIP
KRT19	KRT83
KRT19	ALB
KRT19	KRT16
KRT19	KRT78
KRT19	KRT17
KRT19	KRT2
KRT19	CASP3
KRT19	MET
KRT19	KRT76
KRT19	FBLN1
KRT19	CAV1
KRT19	KRT77
KRT19	CTNNB1
KRT19	ANXA2
KRT19	FN1
KRT19	ACTB
KRT19	DMD
KRT19	COL6A1
KRT19	TGM2
KRT19	ENG
KRT19	DSP
KRT19	KRT6A
KRT19	KRT80
KRT19	AFP
KRT19	YWHAZ
KRT19	ITGB1
KRT19	CD44
KRT19	ACTA2
KRT19	SERPINE2
KRT19	MME
KRT19	CDKN2A
KRT19	ENO2
KRT19	MYL6
KRT19	KRT4
GPRC5A	HSPA9
GPRC5A	ACTR2
DOK7	CRK
DOK7	PLEC
DOK7	CRKL
DOK7	AGRN
IRAK2	MAPK1
IRAK2	SRSF1
IRAK2	LY96
IRAK2	TOLLIP
IRAK2	UBE2N
IRAK2	SNRNP200
IRAK2	UBE2V1
IRAK2	STAT1
IRAK2	BAG3
IRAK2	IL6
IRAK2	UBC
IRAK2	DNAJC3
KCNN4	SERPINE1
KCNN4	GAPDH
KCNN4	PHPT1
KCNN4	RAB7A
KCNN4	CALM3
KCNN4	KCNT2
KCNN4	RNPEP
KCNN4	NME2
MAGI1	APOB
MAGI1	ACTN4
